_id,id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
60,1429971545,96-G-1,f,Danny McGibbeny Memorial Field Third Base Dugout,f,Dugout,Department of Public Works,1400.0,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Danny_McGibbeny_Memorial_Field_Third_Base_Dugout.jpg,Brookline,4,32.0,42003320600,5.0,32.0,6.0,4-26,40.39142669,-80.00755082
70,499158725,23-C-246,f,Fineview Park Shelter,f,Shelter,Department of Public Works,,FINEVIEW AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Fineview_Park_Shelter.jpg,Fineview,1,25.0,42003250900,1.0,25.0,1.0,1-10,40.46182039,-80.00385177
99,381762852,27-S-150-0-1,f,Flagstaff Hill Gazebo,f,Shelter,Department of Public Works,,FREW AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Flagstaff_Hill_Gazebo.jpg,Squirrel Hill South,5,14.0,42003980500,3.0,14.0,4.0,2-8,40.44089345,-79.94778139
100,1468127440,50-F-260,f,Fort Pitt Concession Stand,f,Concession,CitiParks,,HILLCREST ST,15224.0,https://tools.wprdc.org/images/pittsburgh/facilities/Fort_Pitt_Concession_Stand.jpg,Garfield,9,10.0,42003101700,2.0,10.0,5.0,3-4,40.46888998,-79.9423697
101,1010723544,50-F-260,f,Fort Pitt Park Announcers Booth,f,Activity,Department of Public Works,,HILLCREST ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Fort_Pitt_Park_Announcers_Booth.jpg,Garfield,9,10.0,42003101700,2.0,10.0,5.0,3-4,40.46904087,-79.94296901
104,1635303938,29-G-38,f,Frazier Fieldhouse,f,Activity,CitiParks,,FRAZIER ST,15213.0,https://tools.wprdc.org/images/pittsburgh/facilities/Frazier_Fieldhouse.jpg,South Oakland,3,4.0,42003040900,3.0,4.0,4.0,2-11,40.42974618,-79.95440002
106,280573423,127-H-100-0-1,f,Frick Park Blue Slide Park Concession Stand,f,Concession,Department of Public Works,,ENGLISH LN,,https://tools.wprdc.org/images/pittsburgh/facilities/Frick_Park_Blue_Slide_Park_Concession_Stand.jpg,Squirrel Hill South,5,14.0,42003980300,3.0,14.0,4.0,2-21,40.42951341,-79.91379272
108,1418496458,127-H-100-0-1,f,Frick Park Blue Slide Park Shelter,f,Shelter,Department of Public Works,,BEECHWOOD BLVD,,https://tools.wprdc.org/images/pittsburgh/facilities/Frick_Park_Blue_Slide_Park_Shelter.jpg,Squirrel Hill South,5,14.0,42003980300,3.0,14.0,4.0,2-21,40.43017007,-79.91496997
110,225011312,127-H-100-0-1,f,Frick Park Bowling Greens Garage,f,Activity,CitiParks,,REYNOLDS ST,15217.0,https://tools.wprdc.org/images/pittsburgh/facilities/Frick_Park_Bowling_Greens_Garage.jpg,Point Breeze,9,14.0,42003981100,3.0,14.0,4.0,3-14,40.44474293,-79.90079018
111,1314604727,127-H-100-0-1,f,Frick Park Bowling Greens Shelter,f,Shelter,Department of Public Works,,REYNOLDS ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Frick_Park_Bowling_Greens_Shelter.jpg,Point Breeze,9,14.0,42003981100,3.0,14.0,4.0,3-14,40.44487697,-79.90107976
112,1649042168,127-H-100-0-1,f,Frick Park Concession Stand,f,Concession,Department of Public Works,,BRADDOCK AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Frick_Park_Concession_Stand.jpg,Regent Square,5,14.0,42003141000,3.0,14.0,4.0,2-16,40.4375842,-79.89786204
115,1057443201,127-H-100-0-1,f,Frick Park Forbes and Braddock Shelter,t,Shelter,Department of Public Works,,BRADDOCK AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Frick_Park_Forbes_and_Braddock_Shelter.jpg,Regent Square,5,14.0,42003141000,3.0,14.0,4.0,2-16,40.43889795,-79.89856562
120,1921228275,127-H-100-0-1,f,Frick Park Lower Shelter 1,f,Shelter,Department of Public Works,,FRICK PARK ACCESS RD E,,https://tools.wprdc.org/images/pittsburgh/facilities/Frick_Park_Lower_Shelter_1.jpg,Squirrel Hill South,5,14.0,42003980300,3.0,14.0,4.0,2-16,40.43313267,-79.90032172
121,212858599,127-H-100-0-1,f,Frick Park Environmental Center,f,Activity,CitiParks,2005.0,BEECHWOOD BLVD,,https://tools.wprdc.org/images/pittsburgh/facilities/Frick_Park_Environmental_Center.jpg,Squirrel Hill South,5,14.0,42003980300,3.0,14.0,4.0,2-21,40.43648648,-79.90759449
124,524638089,162-S-80,f,Garvin Park Concession Stand,f,Concession,Department of Public Works,60.0,GARVIN ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Garvin_Park_Concession_Stand.jpg,Perry North,1,26.0,42003260200,1.0,26.0,1.0,1-15,40.49229502,-80.01811191
126,1264685831,162-S-80,f,Garvin Park First Base Dugout,f,Dugout,Department of Public Works,,GARVIN ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Garvin_Park_First_Base_Dugout.jpg,Perry North,1,26.0,42003260200,1.0,26.0,1.0,1-15,40.4924582,-80.01805396
127,1704555952,162-S-80,f,Garvin Park Third Base Dugout,f,Dugout,Department of Public Works,,GARVIN ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Garvin_Park_Third_Base_Dugout.jpg,Perry North,1,26.0,42003260200,1.0,26.0,1.0,1-15,40.49235554,-80.01827743
129,1992643068,3-J-180-0-2,f,Grandview Overlook Building,f,Activity,CitiParks,459.0,BAILEY AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Grandview_Overlook_Building.jpg,Allentown,3,18.0,42003180300,5.0,18.0,3.0,4-5,40.42640852,-79.99682556
130,1746886932,134-A-148,f,Hays Park Shelter,f,Shelter,Department of Public Works,,HILLBURN ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Hays_Park_Shelter.jpg,Hays,5,31.0,42003562900,3.0,31.0,4.0,4-20,40.38333485,-79.93171755
131,1234490259,56-P-306,f,Hazelwood Community Center,f,Community,Department of Public Works,138.0,JOHNSTON AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Hazelwood_Community_Center.jpg,Hazelwood,5,15.0,42003562300,3.0,15.0,4.0,2-13,40.40647495,-79.94265993
134,523485030,19-F-143,f,Herschel Concession Stand,f,Concession,CitiParks,801.0,HERSCHEL ST,15220.0,https://tools.wprdc.org/images/pittsburgh/facilities/Herschel_Concession_Stand.jpg,Elliott,2,20.0,42003562600,5.0,20.0,6.0,1-17,40.44029506,-80.04389947
136,1719982789,19-F-143,f,Herschel Upper Field Building,f,Activity,CitiParks,801.0,HERSCHEL ST,15220.0,https://tools.wprdc.org/images/pittsburgh/facilities/Herschel_Upper_Field_Building.jpg,Elliott,2,20.0,42003562600,5.0,20.0,6.0,1-17,40.4404166,-80.04433756
137,1438532672,19-F-143,f,Herschel Upper Field First Base Dugout,f,Dugout,CitiParks,801.0,HERSCHEL ST,15220.0,https://tools.wprdc.org/images/pittsburgh/facilities/Herschel_Upper_Field_First_Base_Dugout.jpg,Elliott,2,20.0,42003562600,5.0,20.0,6.0,1-17,40.44033487,-80.04448242
138,144617671,82-F-47,f,Heths Park Concession Stand,f,Concession,CitiParks,5435.0,HAMPTON ST,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Heths_Park_Concession_Stand.jpg,Morningside,7,10.0,42003101400,2.0,10.0,5.0,3-7,40.47737626,-79.92816899
139,317858517,82-H-1-0-2,f,Highland Park Bigelow Grove,t,Shelter,Department of Public Works,708.0,RESERVOIR DR,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Bigelow_Grove.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.48460202,-79.91570051
140,975171008,82-H-1-0-2,f,Highland Park Bike Pavilion,f,Shelter,Department of Public Works,1391.0,WASHINGTON BLVD,,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Bike_Pavilion.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-12,40.47612692,-79.90898838
141,1232356456,82-H-1-0-2,f,Highland Park Elm Grove Shelter,t,Shelter,Department of Public Works,6900.0,LAKE DR,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Elm_Grove_Shelter.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.47669674,-79.91039848
142,649027918,82-H-1-0-2,f,Highland Park Farmhouse,f,Activity,CitiParks,1340.0,FARMHOUSE DR,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Farmhouse.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.47602155,-79.91371025
143,63545891,82-H-1-0-2,f,Highland Park Lake Carnegie Cabin,f,Cabin,Department of Public Works,,LAKE DR,,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Lake_Carnegie_Cabin.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.48035419,-79.91163893
144,130294472,82-H-1-0-2,f,Highland Park Lake Point Shelter,f,Shelter,Department of Public Works,7206.0,LAKE DR,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Lake_Point_Shelter.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.48022213,-79.90976007
145,202870739,82-H-1-0-2,f,Highland Park Maple Grove Shelter,t,Shelter,Department of Public Works,1036.0,RESERVOIR DR,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Maple_Grove_Shelter.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.4802752,-79.91825154
146,1523072102,82-H-1-0-2,f,Highland Park Memorial Grove Shelter,t,Shelter,Department of Public Works,918.0,RESERVOIR DR,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Memorial_Grove_Shelter.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.48178759,-79.9169825
